날짜,거래처,품목,수량,단가,공급가액,부가세,참조
2019-05-31,진도PVC,,0,0,0,0,이월
2019-05-31,진흥철물건재상사,,0,0,0,0,이월
2019-05-31,창대철물종합건재,,0,0,0,0,이월
2019-05-31,창성공구,,0,0,0,0,이월
2019-05-31,천재철물상사,,0,0,0,0,이월
2019-05-31,철물 DC 마트,,0,0,0,0,이월
2019-05-31,최배달건재 철물,,0,0,0,0,이월
2019-05-31,충남안전철물건재상사,,0,0,0,0,이월
2019-05-31,충북기업(주),,0,0,0,0,이월
2019-05-31,충청벤딩,,0,0,0,0,이월
2019-05-31,친구공구,,0,0,0,0,이월
2019-05-31,태광종합상사,,0,0,0,0,이월
2019-05-31,태산철물PVC건재,,0,0,0,0,이월
2019-05-31,태신종합건재,,0,0,0,0,이월
2019-05-31,태양공구,,0,0,0,0,이월
2019-05-31,태창톱공구,,0,0,0,0,이월
2019-05-31,토방 철물 공구 안전용품,,0,0,0,0,이월
2019-05-31,파인종합상사,,0,0,0,0,이월
2019-05-31,파주철물종합상사,,0,0,0,0,이월
2019-05-31,파트너자재백화점,,0,0,0,0,이월
2019-05-31,[폐업]평화종합건재,,0,0,0,0,이월
2019-05-31,하나상사,,0,0,0,0,이월
2019-05-31,하나종합상사,,0,0,0,0,이월
2019-05-31,하이원 시스템,,0,0,0,0,이월
2019-05-31,한국건재상사,,0,0,0,0,이월
2019-05-31,한국철물,,0,0,0,0,이월
2019-05-31,한국철물공구건재,,0,0,0,0,이월
2019-05-31,한국타일철물건재,,0,0,0,0,이월
2019-05-31,한솔만물상,,0,0,0,0,이월
2019-05-31,[폐업]한솔종합자재마트,,0,0,0,0,이월
2019-05-31,한영상사,,0,0,0,0,이월
2019-05-31,한일상사,,0,0,0,0,이월
2019-05-31,한일종합건재,,0,0,0,0,이월
2019-05-31,한재종합공구,,0,0,0,0,이월
2019-05-31,함열기계상사,,0,0,0,0,이월
2019-05-31,행복건재,,0,0,0,0,이월
2019-05-31,[폐업]행복종합상사,,0,0,0,0,이월
2019-05-31,현대공구건재,,0,0,0,0,이월
2019-05-31,현대공구철물백화점,,0,0,0,0,이월
2019-05-31,현대종합건재상사,,0,0,0,0,이월
2019-05-31,현대철물공구건재,,0,0,0,0,이월
2019-05-31,현진공구상사,,0,0,0,0,이월
2019-05-31,형제종합상사,,0,0,0,0,이월
2019-05-31,화전건재,,0,0,0,0,이월
2019-05-31,화정한빛철물,,0,0,0,0,이월
2019-05-31,환영건축자재마트,,0,0,0,0,이월
2019-05-31,황금종합철물,,0,0,0,0,이월
2019-05-31,효성종합철물건재,,0,0,0,0,이월
2019-05-31,효촌철물공구백화점,,0,0,0,0,이월
2019-06-01,,"[3M 절단석 01994 @ 4""",0,0,0,0,????
2019-06-01,,"3M 절단석 01994(new) @ 4""",0,0,0,0,????
2019-06-01,,"3M 절단석 02994 @ 4""",0,0,0,0,????
2019-06-01,,"3M 절단석 프리미엄 @ 14""",0,0,0,0,????
2019-06-01,,"3M 절단석 보급형 @ 14""",0,0,0,0,????
2019-06-01,,"3M 절단석 65147(큐) @ 4""*1.0t*16mm",0,0,0,0,????
2019-06-01,,"3M 절단석 65148(큐) @ 4""*1.3t*9.5mm",0,0,0,0,????
2019-06-01,,"3M 절단석 65137(큐) @ 4""*9.5mm",0,0,0,0,????
2019-06-01,,"3M 푸른돌 #24 @ 4""*6T",0,0,0,0,????
2019-06-01,,"3M 푸른돌 #36 @ 4""*3T",0,0,0,0,????
2019-06-01,,"3M 푸른돌 #60 @ 4""*2T",0,0,0,0,????
2019-06-01,,"3M 푸른돌 #80 @ 4""*2T",0,0,0,0,????
2019-06-01,,"3M 푸른돌 #24 @ 7""*6T",0,0,0,0,????
2019-06-01,,"3M 푸른돌 #36(HP 66554 6T) @ 4""",0,0,0,0,????
2019-06-01,,"3M 황금돌 #36 @ 4""*3T",0,0,0,0,????
2019-06-01,,"3M 황금돌 #60 @ 4""*2.5T",0,0,0,0,????
2019-06-01,,"3M 황금돌 #80 @ 4""*2.5T",0,0,0,0,????
2019-06-01,,"3M 옵셋 #30(보급형 6T) @ 4""",0,0,0,0,????
2019-06-01,,"3M 옵셋 #36(더블사이드 3T) @ 4""",0,0,0,0,????
2019-06-01,,"3M 옵셋 (리지드 8T) @ 4""",0,0,0,0,????
2019-06-01,,"3M 옵셋 #24(리지드 A-100) @ 4""",0,0,0,0,????
2019-06-01,,"3M 옵셋 (보급형 WA) @ 7""",0,0,0,0,????
2019-06-01,,"3M 절단석 72653 @ 4""",0,0,0,0,????
2019-06-01,,"3M 절단석 04116 @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC S/C A-CRS(M10홀더) @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC S/C A-VFN(M10홀더) @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC S/C LGB HD A-CRS @ 4""",0,0,0,0,????
2019-06-01,,"3M DISC S/C LGB SD A-CRS @ 4""",0,0,0,0,????
