업체명,지역,업종,전화번호,주소,담당자,메모,영업단계,등록일
강동철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 강동면 율곡로 2160,,G21001 / 강동면,미방문,
모닝카프라자정비공업사,강원특별자치도 속초시,공구점,,강원특별자치도 속초시 소평로 55,,S20301 / 조양동,미방문,
영동철물,강원특별자치도 고성군,철물점,,강원특별자치도 고성군 거진읍 거진길 54-1,,G21001 / 거진읍,미방문,
오산건재,강원특별자치도 원주시,건자재점,,강원특별자치도 원주시 치악로 1627,,G21001 / 단구동,미방문,
샤프시스템무실열쇠철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 시청로 76,,G21001 / 무실동,미방문,
태백철물상사,강원특별자치도 태백시,철물점,,강원특별자치도 태백시 황지로 107,,G21001 / 황지동,미방문,
동영공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 북원로 2578-5,,S20301 / 우산동,미방문,
대영농자재테크,강원특별자치도 정선군,농자재점,,강원특별자치도 정선군 임계면 백두대간로 1403,,G21001 / 임계면,미방문,
우진철물건재,강원특별자치도 횡성군,건자재점,,강원특별자치도 횡성군 안흥면 안흥로 59,,G21001 / 안흥면,미방문,
민둥산농자재마트,강원특별자치도 정선군,농자재점,,강원특별자치도 정선군 남면 무릉2로 9,,G22199 / 남면,미방문,
벽산건재철물,강원특별자치도 춘천시,건자재점,,강원특별자치도 춘천시 공지로 427-6,,G21001 / 근화동,미방문,
현대철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 강릉대로 102,,G21001 / 홍제동,미방문,
도암철물.건재,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 대관령면 대관령마루길 78,,G21001 / 대관령면,미방문,
현대철물상사／고려페인트,강원특별자치도 동해시,건자재점,,강원특별자치도 동해시 송정중앙로 62,,G21001 / 송정동,미방문,
우리동네철물점,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 동내면 동내로 58,,G21001 / 동내면,미방문,
대성철물,강원특별자치도 양양군,철물점,,강원특별자치도 양양군 양양읍 남문7길 13,,G21001 / 양양읍,미방문,
